name,rank,year,rating,n_reviews,director
Rush,219,2013,8.0,487392,Ron Howard
Network,220,1976,8.0,162207,Sidney Lumet
Before Sunset,221,2004,8.0,270908,Richard Linklater
Into the Wild,222,2007,8.0,631184,Sean Penn
The Wizard of Oz,223,1939,8.0,407090,Victor Fleming
The Best Years of Our Lives,224,1946,8.0,66450,William Wyler
Groundhog Day,225,1993,8.0,645030,Harold Ramis
The Exorcist,226,1973,8.0,416569,William Friedkin
The Incredibles,227,2004,8.0,752776,Brad Bird
Pather Panchali,228,1955,8.0,34488,Satyajit Ray
To Be or Not to Be,229,1942,8.0,39077,Ernst Lubitsch
La haine,230,1995,8.0,178841,Mathieu Kassovitz
Pirates of the Caribbean: The Curse of the Black Pearl,231,2003,8.0,1143695,Gore Verbinski
The Grapes of Wrath,232,1940,8.0,95405,John Ford
Hachi: A Dog's Tale,233,2009,8.0,291944,Lasse Hallström
The Battle of Algiers,234,1966,8.0,61835,Gillo Pontecorvo
Jai Bhim,235,2021,8.0,205163,T.J. Gnanavel
My Father and My Son,236,2005,8.0,87708,Çagan Irmak
Amores Perros,237,2000,8.0,244048,Alejandro G. Iñárritu
Rebecca,238,1940,8.0,139815,Alfred Hitchcock
Cool Hand Luke,239,1967,8.0,180046,Stuart Rosenberg
The Handmaiden,240,2016,8.0,154216,Park Chan-wook
The 400 Blows,241,1959,8.0,120954,François Truffaut
The Sound of Music,242,1965,8.0,242044,Robert Wise
It Happened One Night,243,1934,8.0,106402,Frank Capra
Persona,244,1966,8.0,122238,Ingmar Bergman
Life of Brian,245,1979,8.0,405893,Terry Jones
The Iron Giant,246,1999,8.0,205720,Brad Bird
The Help,247,2011,8.0,467833,Tate Taylor
Dersu Uzala,248,1975,8.0,31360,Akira Kurosawa
Aladdin,249,1992,8.0,430905,Ron Clements
Dances with Wolves,250,1990,8.0,273274,Kevin Costner
